Standing Committee of the Political Bureau	2015
Gretna Football Club	2015
2000 Fed Cup Americas Zone Group I – Pool A	2015
Birmingham Middle Ring Road	1849
Clevedon Cricket Club	2015
2010-11 Club Necaxa season	2015
House Committee On Un-American Activities	1818
2008 European Speedway Club Champions' Cup	2015
Yalta conference	2015
Al-Wakrah Sports Club	2015
Windom Select Committee	2015
40-40 club	2015
Potomac Athletic Club RFC	2015
Deep Eddy Pool	1445
University of St Andrews Rugby Football Club	2015
Republican Committee of Lancaster County	2015
European Conference on Object Oriented Programming	1975
Valur Football Club	2015
Viper Label	1526
2014 America East Conference Baseball Tournament	2015
Special Action Committee on Okinawa	2015
Kaiser Fleischer ring	2015
2015 Conference USA Men's Basketball Tournament	2015
The Estancia Club	2015
World Pool League	1387
Brain committee	1495
Pool (album)	1527
Gusii United Football Club	2015
Club Deportivo Ariznabarra	2015
New England Football Conference	1538
1931 Southern Conference Men's Basketball Tournament	2015
Interstate Economic Committee of the USSR–Economic Community	2015
Massachusetts Democratic State Committee	2015
Glebe Rowing Club	1380
2006 United Nations Climate Change Conference	2015
CFU Club Championship 2003	2015
Midwest Women's Lacrosse Conference	2015
Derbyshire County Cricket Club in 1876	2015
Badinter Committee	2015
Orpheus Club of Philadelphia	2015
Milenio Cartel	2015
Committee on National Security Systems	2015
Fourth Ring Discussions	2015
Automobile Competition Committee for the United States	2015
Lancaster University Boat Club	1857
Delaware Republican State Committee	2015
Alianza futbol club (san salvador)	2015
Nimba United Football Club	2015
Club Deportivo Castellon	2015
All India States Peoples Conference	1538
Gremium Motorcycle Club	2015
Great Lakes Intercollegiate Athletic Conference	2015
Lake Athletic Conference	1605
Kensington Baseball Club	1968
Paris Peace Conference	2015
1999–00 All-Ireland Senior Club Hurling Championship	2015
Port Vale Football Club	1424
1938 Southern Conference Men's Basketball Tournament	2015
Al Ahli Club (Dubai)	2015
Discount Home Shoppers Club	2015
Ring pop	1400
General People's Committee	1811
Nose Ring	10
Club Daze Volume II: Live in the Bars	2015
14th International Solvay Conference in Physics	2015
Atlético Nacional (Honduran football club)	2015
Hacker conference	1538
Captains of Industry (record label)	2015
A D Club	1205
Signet ring cells	1891
J-1 ring	2015
Palmeira (football club)	2015
Taringa Rovers Soccor Football Club	2015
Tonbridge Swimming Pool	1795
Ring ditches	2015
Vintage Sports Car Club	1594
Harlem Jockey Club	1934
Derbyshire County Cricket Club in 1971	2015
Green Senatorial Campaign Committee	1740
2009–10 Big Ten Conference women’s basketball season	2015
Club Social y Deportivo San Antonio Unido	2015
Nice Lawn Tennis Club	1415
Alternative ring	1590
Ethics Committee (Georgia House)	2015
England football club	1424
Hair Club	1205
Wangaratta Football Club	2015
2002 Fed Cup Europe/Africa Zone Group I – Pool D	2015
United States House Committee on Expenditures in the Department of the Interior	2015
List of club cricket grounds in Kenya	2015
Committee of the Estates	2015
2006 Mid-American Conference Baseball Tournament	2015
Club de l’Horloge	2015
CFU Club Championship 2013	2015
Club Deportivo Politécnico	2015
Beijing 2008 Organizing Committee	2015
The Race Club	2015
Happy Wives Club	2015
Woodbury Country Club	2015
International Club of Heroes	2015
